headword,pos,supplement,entry,meaning,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,appetizer,"【名/C】前菜, 食前酒 / 食欲を促す食物(飲物)",/ˈæp.ɪ.taɪ.zər/,1927,I ordered a delicious appetizer at the restaurant.,私はレストランで美味しい前菜を注文しました。,1639691
,,,enthusiastic,熱心な、熱狂的な,/ɪnˌθ(j)uːziˈæstɪk/,14117,The concert was jam-packed with enthusiastic fans.,コンサート会場は熱狂的なファンでぎっしり詰まっていた。,1659236
,,,microphone,"〈C〉マイクロフォン, 拡声器",/ˈmaɪ.krəˌfoʊn/,26686,I need to buy a new microphone for my podcast.,私はポッドキャスト用に新しいマイクを買う必要があります。,3001424
,,,residential,"住居の,居住の / 住居向きの",/rɪˈzɪdənʃəl/,35775,I live in a residential area.,私は住宅地に住んでいます。,1662065
,,,signature,"〈C〉署名, サイン / 特徴 / 音楽記号 / 〈U〉署名すること",/sɪɡˈnətʃər/,38911,He signed the document with his autographic signature.,彼は自筆の署名で文書にサインしました。,1649535
,,,attendee,【名/C】《会議などの》出席者,/əˌtɛnˈdiː/,48332,There were over 100 attendees at the conference.,会議には100人以上の参加者がいました。,3007003
,,,desperate,"自暴自棄の,やけくその / 《補語にのみ用いて》切望している  / (回復・改善などの)見込みがない / 耐えられない / 死にもの狂いの",/dɛspərət/,11572,She was desperate to find a job.,彼女は仕事を見つけるのに必死だった。,2997512
,,,accommodate,"(必要なものを)〈人〉に便宜をはかる / 〈人〉を宿泊させる, を収容する / 《…に》...を適応させる《to ...》/…を受け入れる、承諾する",/əˈkɑːmədeɪt/,287,The hotel can accommodate up to 500 guests.,ホテルは最大500名まで収容可能です。,2995682
,,,exceptional,"例外の, まれな / 非常に優れた",/ɪkˈsɛpʃənəl/,14656,She has exceptional talent in singing.,彼女は歌唱力が非常に優れている（例外的）です。,2998319
,,,utility,〈U〉役に立つこと / 〈C〉《しばしば複数形で》(ガス・電気・水道などの) 公共事業体,/juˈtɪlɪti/,45712,The utility company provides electricity and water to the residents.,公共事業会社は住民に電気と水を供給しています。,3006332
,,,workforce,"【名/C】労働人口, 全労働力",/'wɜrkˌfɔrs/,47832,The company is investing in training programs to develop a skilled workforce.,会社は熟練した労働力を育成するために研修プログラムに投資しています。,3006848
,,,accountant,"〈C〉会計係, 会計士, 計理士",/əˈkaʊntənt/,312,The accountant made a misstatement in the financial report.,会計士は財務報告書で誤った陳述をしました。,1658365
,,,pharmacist,〈C〉薬剤師 / 製薬者,/fɑrˈməsɪst/,31581,The pharmacist filled the prescription for the patient.,薬剤師は患者の処方箋を調剤しました。,3002716
,,,defective,"【形】欠点のある, 欠陥のある / 《...が》欠けている《in ...》",/dɪˈfɛktɪv/,11113,The company issued a recall for the defective product.,会社は欠点のある製品のリコールを発表しました。,1634946
,,,petition,"【名/C】(正式の)請願書, 陳情書 / 請願, 陳情 / 【動/他】に請願する / 【動/自】《...を》 請願する 《for ...》",/pəˈtɪʃən/,31515,I signed a petition to save the endangered species.,絶滅の危機に瀕した種を救うために請願に署名しました。,3002691
,,,plow,【名/C】すき / 〈土地〉をすきで耕す / 《…を切り開いて》〈道〉を押し進む《through ... 》,/plaʊ/,32299,The farmer used a plow to till the soil.,農夫は土を耕すために鋤を使いました。,3002870
,,,earthquake,地震,/ˈɜrθkweɪk/,13319,The earthquake shook the entire city.,地震が街全体を揺らした。,2997982
,,,thorough,"完全な,完ぺきな / （仕事などが）徹底的な",/ˈθʌrə/,43180,He conducted a thorough investigation into the matter.,彼はその問題について徹底的な調査を行った。,3005728
,,,omit,"【動/他】《...から》...を省略する, を省く《from ...》",/əˈmɪt/,29525,I accidentally omitted a word from the sentence.,私は誤って文から単語を省略しました。,3002190
,,,purchaser,"〈C〉買い手, 購入者",/ˈpɜːrtʃəsər/,34126,The purchaser bought a new car.,購入者は新しい車を買いました。,1634962
,,,soar,"〈ワシなどが〉空高く飛ぶ, 舞い上がる / 〈山などが〉そびえ立つ / 〈物価などが〉急に上る / 〈希望・元気・想像力などが〉高まる",/sɔːr/,39718,The eagle soared high in the sky.,ワシは空高く舞い上がった。,3004755
,,,suburb,"〈C〉(都市の近くの住宅地区としての) 郊外,近郊 / 《the ~s》《集合的に》(中心街に対して都市の) 郊外住宅地",/səˈbɜːrb/,41591,I live in a quiet suburb.,私は静かな郊外に住んでいます。,3005251
,,,shuttle,"【名/C】(特に短距離の)定期往復列車, 便 / 杼 / (ミシンの)シャトル / 【動/他】を前後に動かす, を往復させる / 【動/自】行ったり来たりする",/ˈʃʌtəl/,38797,I took the shuttle to the airport.,私はシャトルバスで空港に行きました。,3004533
,,,aboard,(船・航空機・列車などに) 乗って,/əˈbɔːrd/,127,"The bus fell off the cliff, killing all 10 aboard.",バスが崖から転落し、乗っていた１０名全員が死亡した。,110183
